Date;Symbol;Series;Open;High;Low;LTP;Close;Volume;Turnover(in Lakhs)
09-Apr-2020;HDFC;EQ;1,587.70;1,714.65;1,587.50;1702.00;1,703.10;85,72,034;1,43,124.62
08-Apr-2020;HDFC;EQ;1,543.40;1,692.00;1,535.00;1560.00;1,558.80;89,74,987;1,44,037.96
07-Apr-2020;HDFC;EQ;1,574.70;1,577.50;1,517.60;1570.00;1,555.15;1,23,07,166;1,89,778.64
03-Apr-2020;HDFC;EQ;1,575.50;1,578.80;1,482.25;1499.75;1,499.55;1,01,49,442;1,53,521.54
01-Apr-2020;HDFC;EQ;1,645.50;1,693.60;1,575.90;1588.00;1,583.50;67,52,017;1,08,586.70
31-Mar-2020;HDFC;EQ;1,625.00;1,666.55;1,582.00;1625.00;1,633.10;1,04,44,821;1,69,462.79
30-Mar-2020;HDFC;EQ;1,667.30;1,699.00;1,548.00;1564.00;1,558.75;86,70,691;1,40,294.22
27-Mar-2020;HDFC;EQ;1,785.20;1,849.65;1,710.05;1755.45;1,754.00;90,48,464;1,60,970.31
26-Mar-2020;HDFC;EQ;1,689.50;1,843.45;1,671.20;1755.00;1,733.25;1,21,04,359;2,11,848.11
25-Mar-2020;HDFC;EQ;1,476.00;1,655.60;1,476.00;1655.60;1,646.05;1,04,17,560;1,63,887.33
24-Mar-2020;HDFC;EQ;1,554.00;1,649.70;1,473.45;1504.35;1,505.10;89,00,025;1,38,437.82
23-Mar-2020;HDFC;EQ;1,578.60;1,673.25;1,500.00;1520.70;1,520.70;94,74,584;1,50,459.29
20-Mar-2020;HDFC;EQ;1,624.00;1,776.90;1,535.20;1776.90;1,753.95;1,13,77,225;1,89,660.05
19-Mar-2020;HDFC;EQ;1,502.10;1,703.95;1,490.10;1620.00;1,617.60;1,12,54,232;1,78,044.03
18-Mar-2020;HDFC;EQ;1,771.00;1,784.70;1,602.40;1633.25;1,622.55;90,70,671;1,53,478.79
17-Mar-2020;HDFC;EQ;1,858.05;1,869.90;1,740.00;1755.85;1,755.80;66,82,574;1,20,641.65
16-Mar-2020;HDFC;EQ;1,964.00;1,979.50;1,825.00;1858.00;1,841.75;1,06,72,843;2,02,581.38
13-Mar-2020;HDFC;EQ;1,780.05;2,123.70;1,688.15;2072.65;2,066.80;1,41,73,637;2,78,876.44
12-Mar-2020;HDFC;EQ;1,990.00;1,990.00;1,861.10;1874.50;1,875.70;88,37,533;1,69,819.58
11-Mar-2020;HDFC;EQ;1,970.00;2,073.85;1,970.00;2040.35;2,036.25;69,97,019;1,42,674.73
09-Mar-2020;HDFC;EQ;2,067.30;2,067.30;1,981.20;2025.50;2,027.90;50,51,322;1,02,392.09
06-Mar-2020;HDFC;EQ;2,145.00;2,145.00;2,092.80;2109.50;2,109.45;54,14,446;1,14,402.93
05-Mar-2020;HDFC;EQ;2,206.00;2,232.20;2,183.00;2189.00;2,195.05;39,16,762;86,406.75
04-Mar-2020;HDFC;EQ;2,207.00;2,216.60;2,180.20;2209.10;2,206.05;44,60,096;98,135.78
03-Mar-2020;HDFC;EQ;2,201.70;2,226.90;2,173.30;2194.95;2,191.40;42,29,070;92,878.54
02-Mar-2020;HDFC;EQ;2,215.00;2,248.35;2,153.80;2183.70;2,179.65;39,57,634;87,393.52
28-Feb-2020;HDFC;EQ;2,228.55;2,228.55;2,162.30;2186.00;2,175.75;77,15,143;1,69,115.38
27-Feb-2020;HDFC;EQ;2,279.80;2,289.60;2,244.55;2265.95;2,272.20;32,61,885;74,066.21
26-Feb-2020;HDFC;EQ;2,278.00;2,309.50;2,253.55;2276.50;2,281.45;61,63,133;1,40,770.71
25-Feb-2020;HDFC;EQ;2,309.00;2,320.75;2,285.00;2307.00;2,302.60;32,92,922;75,915.05
24-Feb-2020;HDFC;EQ;2,355.00;2,365.20;2,280.10;2303.85;2,292.30;42,38,039;97,965.56
20-Feb-2020;HDFC;EQ;2,364.00;2,377.50;2,349.05;2368.50;2,369.50;33,51,611;79,288.04
19-Feb-2020;HDFC;EQ;2,343.00;2,385.00;2,330.05;2379.00;2,377.25;20,88,724;49,243.16
18-Feb-2020;HDFC;EQ;2,349.00;2,349.00;2,304.00;2324.05;2,318.80;23,45,063;54,422.20
17-Feb-2020;HDFC;EQ;2,401.75;2,406.65;2,345.15;2349.90;2,350.25;23,98,556;56,725.97
14-Feb-2020;HDFC;EQ;2,402.00;2,425.85;2,389.40;2400.25;2,401.75;26,11,510;62,778.32
13-Feb-2020;HDFC;EQ;2,426.00;2,444.15;2,399.00;2404.00;2,403.65;22,80,271;55,025.27
12-Feb-2020;HDFC;EQ;2,449.50;2,487.00;2,427.90;2433.00;2,437.60;41,73,099;1,02,359.95
11-Feb-2020;HDFC;EQ;2,424.45;2,441.75;2,420.20;2436.00;2,435.15;17,32,762;42,141.24
10-Feb-2020;HDFC;EQ;2,405.00;2,425.30;2,391.05;2412.10;2,414.30;20,56,525;49,590.76
07-Feb-2020;HDFC;EQ;2,428.10;2,452.30;2,398.35;2405.00;2,405.65;21,93,190;53,079.98
06-Feb-2020;HDFC;EQ;2,390.00;2,447.80;2,369.65;2433.00;2,436.45;35,36,393;85,482.08
05-Feb-2020;HDFC;EQ;2,345.55;2,395.50;2,326.20;2390.50;2,391.65;32,44,383;76,809.79
04-Feb-2020;HDFC;EQ;2,265.60;2,351.00;2,265.60;2344.40;2,345.95;32,88,687;76,377.39
03-Feb-2020;HDFC;EQ;2,250.00;2,298.05;2,228.20;2265.00;2,259.75;52,20,749;1,18,375.35
01-Feb-2020;HDFC;EQ;2,406.00;2,422.70;2,252.75;2262.00;2,268.25;39,06,937;90,924.74
31-Jan-2020;HDFC;EQ;2,417.00;2,434.75;2,404.50;2416.40;2,414.00;28,28,509;68,419.50
30-Jan-2020;HDFC;EQ;2,413.00;2,428.70;2,386.90;2411.00;2,415.00;28,07,667;67,736.73
29-Jan-2020;HDFC;EQ;2,446.00;2,447.50;2,400.00;2406.30;2,404.25;26,92,713;65,350.15
28-Jan-2020;HDFC;EQ;2,413.00;2,471.70;2,410.00;2433.40;2,431.60;66,98,252;1,63,705.61
27-Jan-2020;HDFC;EQ;2,433.00;2,445.00;2,388.50;2389.95;2,395.80;25,43,177;61,440.72
24-Jan-2020;HDFC;EQ;2,423.00;2,458.60;2,411.40;2449.15;2,450.75;21,78,412;53,170.35
23-Jan-2020;HDFC;EQ;2,422.00;2,436.40;2,404.35;2429.00;2,428.40;18,12,646;43,902.91
22-Jan-2020;HDFC;EQ;2,474.00;2,483.35;2,412.20;2418.00;2,416.60;33,56,004;81,774.11
21-Jan-2020;HDFC;EQ;2,443.00;2,485.90;2,432.00;2465.00;2,465.45;24,04,025;59,156.04
20-Jan-2020;HDFC;EQ;2,474.00;2,486.55;2,440.40;2454.30;2,454.35;22,74,456;55,927.75
17-Jan-2020;HDFC;EQ;2,467.75;2,479.00;2,448.25;2452.70;2,453.95;22,50,437;55,392.09
16-Jan-2020;HDFC;EQ;2,486.00;2,495.75;2,471.80;2481.45;2,482.10;17,94,295;44,555.33
15-Jan-2020;HDFC;EQ;2,483.95;2,495.00;2,453.55;2491.70;2,488.60;22,79,961;56,506.79
14-Jan-2020;HDFC;EQ;2,463.65;2,499.90;2,446.60;2488.30;2,492.30;25,49,328;63,131.64
13-Jan-2020;HDFC;EQ;2,461.10;2,471.05;2,441.00;2461.50;2,462.55;34,01,754;83,412.55